institucion,titulo_profesional,empleabilidad,ingreso_promedio_4to_año
PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,Diseñador,79.80%,S/I
UNIVERSIDAD DEL BIO-BIO,Diseñador Gráfico,60.60%,$600 - $700 mil
UNIVERSIDAD DE VALPARAISO,Diseñador,S/I,$600 - $700 mil
UNIVERSIDAD DEL BIO-BIO,Diseñador Industrial,57.60%,$600 - $700 mil
UNIVERSIDAD DE CHILE,Diseñador(a) Gráfico(a),77.60%,$800 - $900 mil
UNIVERSIDAD DE CHILE,Diseñador(a) Industrial,77.60%,$800 - $900 mil
IP DE CHILE,Diseñador,79.00%,S/I
UNIVERSIDAD ADOLFO IBAÑEZ,Diseñador ,S/I,S/I
UNIVERSIDAD DE TALCA,Diseñador ,53.80%,S/I
UNIVERSIDAD DE VIÑA DEL MAR,Diseñador mención Gráfica,S/I,S/I
UNIVERSIDAD DEL DESARROLLO,Diseñador con mención en Gráfico,72.60%,$800 - $900 mil
UNIVERSIDAD DEL DESARROLLO,Diseñador con mención en Interacción Digital,72.60%,$800 - $900 mil
UNIVERSIDAD DEL DESARROLLO,Diseñador con mención en Espacios y Objetos,72.60%,$800 - $900 mil
UNIVERSIDAD DIEGO PORTALES,Diseñador Gráfico,72.70%,$800 - $900 mil
UNIVERSIDAD DIEGO PORTALES,Diseñador Industrial,72.70%,$800 - $900 mil
UNIVERSIDAD FINIS TERRAE,Diseñador con mención en Diseño Gráfico,53.60%,$800 - $900 mil
UNIVERSIDAD FINIS TERRAE,Diseñador con mención en Interior y Equipamiento,53.60%,$800 - $900 mil
UNIVERSIDAD AUSTRAL DE CHILE,S/I,S/I,S/I
UNIVERSIDAD GABRIELA MISTRAL,Diseñador Crossmedia,S/I,S/I
IP DUOC UC,Diseñador de Ambientes,59.40%,$700 - $800 mil
UNIACC,Diseñador de Imagen,47.90%,S/I
UNIACC,Diseñador Gráfico especialidad en Multimedia,47.90%,S/I
UNIVERSIDAD DEL PACIFICO,Diseñador de Interiores,57.70%,$900 mil - $1 millón
UNIVERSIDAD ANDRES BELLO,Diseñador de Juegos Digitales,S/I,S/I
IP INACAP,Diseñador de Moda,59.00%,S/I
UNIVERSIDAD DE LAS AMERICAS,Diseño de Muebles y Objetos,S/I,S/I
IP DUOC UC,Diseñador de Vestuario,63.10%,$600 - $700 mil
UNIVERSIDAD DE LAS AMERICAS,Diseñador de Vestuario,S/I,S/I
IP AIEP,Diseñador de Vestuario mención Alta Costura,42.00%,S/I
UNIVERSIDAD ANDRES BELLO,Diseñador de Vestuario y Textil,S/I,S/I
CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,Técnico de nivel superior en diseño de vestuario.,S/I,S/I
UNIVERSIDAD TECNOLOGICA METROPOLITANA,Diseñador en Comunicación Visual,76.80%,$800 - $900 mil
IP AIEP,Diseñador Gráfico,S/I,$500 - $600 mil
IP DUOC UC,Diseñador Gráfico,58.70%,$600 - $700 mil
IP SANTO TOMAS,Diseñador Gráfico,55.70%,$500 - $600 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Diseñador Gráfico,56.80%,S/I
UNIVERSIDAD ANDRES BELLO,Diseñador Gráfico,52.00%,$700 - $800 mil
UNIVERSIDAD ANDRES BELLO,Diseñador de Productos,52.00%,S/I
UNIVERSIDAD CATOLICA DE TEMUCO,Diseñador Gráfico,55.00%,S/I
UNIVERSIDAD CATOLICA DE TEMUCO,Diseñador Industrial,55.00%,S/I
UNIVERSIDAD DE LAS AMERICAS,Diseñador Gráfico,S/I,S/I
UNIVERSIDAD DEL PACIFICO,Diseñador Gráfico,67.40%,$800 - $900 mil
CFT ICEL,Técnico de Nivel Superior en Diseño Gráfico Computacional,S/I,S/I
IP AIEP,Técnico de Nivel Superior en Diseño Gráfico,S/I,$500-600 mil
IP INACAP,Diseñador Gráfico Profesional,S/I,$500 - $600 mil
IP LOS LEONES,Diseñador Gráfico Publicitario,S/I,$500-600 mil
UNIVERSIDAD DE ANTOFAGASTA,Diseñador(a) Gráfico mención Diseño Estratégico,65.00%,$600-700 mil
IP DUOC UC,Diseñador Industrial ,70.10%,$700 - $800 mil
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Diseñador Industrial ,56.80%,S/I
UNIVERSIDAD TECNOLOGICA METROPOLITANA,Diseñador Industrial,68.20%,$800 - $900 mil
UNIVERSIDAD DE LA SERENA,Diseñador con mención en Comunicación/Equipamiento,51.60%,S/I
UNIVERSIDAD MAYOR,Diseñador con Mención Gráfico / Industrial / Ambientes,64.60%,$800 - $900 mil
UNIVERSIDAD DE TARAPACA,Diseñador Comunicacional Multimedia,S/I,S/I
UNIVERSIDAD DE CHILE,Diseñador Teatral,S/I,S/I
UNIVERSIDAD DEL PACIFICO,Diseñador de Vestuario y Textiles,56.30%,$700 - $800 mil
CFT INACAP,Técnico de Nivel Superior en Diseño Web & Mobile,S/I,S/I
CFT INACAP,Técnico de Nivel Superior en Diseño Gráfico,S/I,S/I
IP SANTO TOMAS,Técnico de Nivel Superior en Diseño Digital y Publicitario,S/I,S/I
UNIVERSIDAD DE SANTIAGO DE CHILE,Tecnólogo en Diseño Industrial,66.70%,$700 - $800 mil
